name,latitude,longitude
강남,37.5172,127.0473
강동,37.545,127.1368
강북,37.6396,127.0257
강서,37.551,126.8495
관악,37.4784,126.9516
광진,37.5388,127.0828
구로,37.4959,126.8877
금천,37.4565,126.8954
노원,37.654,127.0567
도봉,37.6688,127.0471
동대,37.5744,127.04
동작,37.5124,126.9399
마포,37.5665,126.901
서대,37.5791,126.9368
서초,37.4837,127.0324
성동,37.5579,127.0419
성북,37.603,127.0236
송파,37.5045,127.1145
양천,37.5245,126.8553
영등,37.5264,126.8954
용산,37.5328,126.9909
은평,37.6175,126.9227
종로,37.5729,126.9795
중구,37.5641,126.9984
중랑,37.6063,127.093